wordID,displayWordSeq,displayCol,pixelX,wordState,displayString,"inChainList",aligned,void,stretch
277,0,0,182.00,0,...,"{}",1,0,0
278,0,0,182.00,0,What,"{}",1,0,0
279,1,1,282.00,0,else,"{}",1,0,0
280,2,2,382.00,0,can,"{}",1,0,0
281,3,3,482.00,0,we,"{}",1,0,0
282,4,4,582.00,0,[do,"{}",1,0,0
283,5,5,682.00,0,|tomorrow],"{}",1,0,0
284,6,6,782.00,0,",","{}",1,0,0
285,0,0,182.00,0,[],"{}",1,0,0
286,0,0,182.00,0,besides,"{}",1,0,0
287,1,1,282.00,0,go,"{}",1,0,0
288,2,2,382.00,0,to,"{}",1,0,0
289,3,3,482.00,0,the,"{}",1,0,0
290,4,4,582.00,0,movies,"{}",1,0,0
291,5,5,682.00,0,.,"{}",1,0,0
292,0,0,182.00,0,...,"{}",1,0,0
293,1,1,282.00,0,t-,"{}",1,0,0
294,2,2,382.00,0,--,"{}",1,0,0
295,0,0,182.00,0,..,"{}",1,0,0
296,1,1,282.00,0,Go,"{}",1,0,0
297,2,2,382.00,0,out,"{}",1,0,0
298,3,3,482.00,0,to,"{}",1,0,0
299,4,4,582.00,0,dinner,"{}",1,0,0
300,5,5,682.00,0,?,"{}",1,0,0
301,0,0,182.00,0,...,"{}",1,0,0
302,1,1,282.00,0,I'm,"{}",1,0,0
303,2,2,382.00,0,so:,"{}",1,0,0
304,3,3,482.00,0,not,"{}",1,0,0
305,4,4,582.00,0,hungry,"{}",1,0,0
306,5,5,682.00,0,right,"{}",1,0,0
307,6,6,782.00,0,now,"{}",1,0,0
308,7,7,882.00,0,",","{}",1,0,0
309,0,0,182.00,0,it's,"{}",1,0,0
310,1,1,282.00,0,hard,"{}",1,0,0
311,2,2,382.00,0,for,"{}",1,0,0
312,3,3,482.00,0,me,"{}",1,0,0
313,4,4,582.00,0,to,"{}",1,0,0
314,5,5,682.00,0,think,"{}",1,0,0
315,6,6,782.00,0,about,"{}",1,0,0
316,7,7,882.00,0,food,"{}",1,0,0
317,8,8,982.00,0,.,"{}",1,0,0
318,0,0,182.00,0,..,"{}",1,0,0
319,1,1,282.00,0,Alright,"{}",1,0,0
320,2,2,382.00,0,.,"{}",1,0,0
321,0,0,182.00,0,...,"{}",1,0,0
322,1,1,282.00,0,I'd,"{}",1,0,0
323,2,2,382.00,0,like,"{}",1,0,0
324,3,3,482.00,0,to,"{}",1,0,0
325,4,4,582.00,0,go,"{}",1,0,0
326,5,5,682.00,0,out,"{}",1,0,0
327,6,6,782.00,0,to,"{}",1,0,0
328,7,7,882.00,0,dinner,"{}",1,0,0
329,8,8,982.00,0,though,"{}",1,0,0
330,9,9,1082.00,0,.,"{}",1,0,0
331,0,0,182.00,0,...,"{}",1,0,0
332,1,1,282.00,0,Think,"{}",1,0,0
333,2,2,382.00,0,we,"{}",1,0,0
334,3,3,482.00,0,can,"{}",1,0,0
335,4,4,582.00,0,find,"{}",1,0,0
336,5,5,682.00,0,a,"{}",1,0,0
337,6,6,782.00,0,hot,"{}",1,0,0
338,7,7,882.00,0,tub,"{}",1,0,0
339,8,8,982.00,0,?,"{}",1,0,0
340,0,0,182.00,0,...,"{}",1,0,0
341,1,1,282.00,0,Yeah,"{}",1,0,0
342,2,2,382.00,0,",","{}",1,0,0
343,0,0,182.00,0,that's,"{}",1,0,0
344,1,1,282.00,0,a,"{}",1,0,0
345,2,2,382.00,0,good,"{}",1,0,0
346,3,3,482.00,0,idea,"{}",1,0,0
347,4,4,582.00,0,.,"{}",1,0,0
348,0,0,182.00,0,...,"{}",1,0,0
349,1,1,282.00,0,That's,"{}",1,0,0
350,2,2,382.00,0,an,"{}",1,0,0
351,3,3,482.00,0,excellent,"{}",1,0,0
352,4,4,582.00,0,idea,"{}",1,0,0
353,5,5,682.00,0,.,"{}",1,0,0
354,0,0,182.00,0,..,"{}",1,0,0
355,1,1,282.00,0,..,"{}",1,0,0
356,2,2,382.00,0,There,"{}",1,0,0
357,3,3,482.00,0,you,"{}",1,0,0
358,4,4,582.00,0,[go,"{}",1,0,0
359,5,5,682.00,0,|thinking,"{}",1,0,0
360,6,6,782.00,0,|again,"{}",1,0,0
361,7,7,882.00,0,|again],"{}",1,0,0
362,8,8,982.00,0,.,"{}",1,0,0
363,0,0,182.00,0,[There,"{}",1,0,0
364,1,1,282.00,0,|you,"{}",1,0,0
365,2,2,382.00,0,|go,"{}",1,0,0
366,3,3,482.00,0,|thinking,"{}",1,0,0
367,4,4,582.00,0,|again],"{}",1,0,0
368,5,5,682.00,0,.,"{}",1,0,0
369,0,0,182.00,0,...,"{}",1,0,0
370,1,1,282.00,0,I'm,"{}",1,0,0
371,2,2,382.00,0,gonna,"{}",1,0,0
372,3,3,482.00,0,whip,"{}",1,0,0
373,4,4,582.00,0,your,"{}",1,0,0
374,5,5,682.00,0,butt,"{}",1,0,0
375,6,6,782.00,0,.,"{}",1,0,0
376,0,0,182.00,0,{BEEP},"{}",1,0,0
377,0,0,182.00,0,You,"{}",1,0,0
378,1,1,282.00,0,think,"{}",1,0,0
379,2,2,382.00,0,so,"{}",1,0,0
380,3,3,482.00,0,.,"{}",1,0,0
381,0,0,182.00,0,hunh,"{}",1,0,0
382,1,1,282.00,0,?,"{}",1,0,0
383,0,0,182.00,0,...,"{}",1,0,0
384,1,1,282.00,0,Yeah,"{}",1,0,0
385,2,2,382.00,0,.,"{}",1,0,0
386,0,0,182.00,0,Ununh.,"{}",1,0,0
387,1,1,282.00,0,-.,"{}",1,0,0
388,0,0,182.00,0,...,"{}",1,0,0
389,1,1,282.00,0,@@@,"{}",1,0,0
390,0,0,182.00,0,...,"{}",1,0,0
391,0,0,182.00,0,...,"{}",1,0,0
392,1,1,282.00,0,That's,"{}",1,0,0
393,2,2,382.00,0,[all,"{}",1,0,0
394,3,3,482.00,0,|I,"{}",1,0,0
395,4,4,582.00,0,|get],"{}",1,0,0
396,5,5,682.00,0,?,"{}",1,0,0
397,0,0,182.00,0,[],"{}",1,0,0
398,1,1,282.00,0,...,"{}",1,0,0
399,2,2,382.00,0,[2],"{}",1,0,0
400,0,0,182.00,0,[2That's],"{}",1,0,0
401,1,1,282.00,0,me,"{}",1,0,0
402,2,2,382.00,0,",","{}",1,0,0
403,0,0,182.00,0,right,"{}",1,0,0
404,1,1,282.00,0,?,"{}",1,0,0
405,0,0,182.00,0,Yeah,"{}",1,0,0
406,1,1,282.00,0,you,"{}",1,0,0
407,2,2,382.00,0,get,"{}",1,0,0
408,3,3,482.00,0,a,"{}",1,0,0
409,4,4,582.00,0,percentage,"{}",1,0,0
410,5,5,682.00,0,of,"{}",1,0,0
411,6,6,782.00,0,the,"{}",1,0,0
412,7,7,882.00,0,amount,"{}",1,0,0
413,8,8,982.00,0,of,"{}",1,0,0
414,9,9,1082.00,0,countries,"{}",1,0,0
415,10,10,1182.00,0,you,"{}",1,0,0
416,11,11,1282.00,0,own,"{}",1,0,0
417,12,12,1382.00,0,",","{}",1,0,0
418,0,0,182.00,0,...,"{}",1,0,0
419,1,1,282.00,0,and,"{}",1,0,0
420,2,2,382.00,0,then,"{}",1,0,0
421,3,3,482.00,0,",","{}",1,0,0
422,0,0,182.00,0,...,"{}",1,0,0
423,1,1,282.00,0,for,"{}",1,0,0
424,2,2,382.00,0,continents,"{}",1,0,0
425,3,3,482.00,0,you,"{}",1,0,0
426,4,4,582.00,0,get,"{}",1,0,0
427,5,5,682.00,0,another,"{}",1,0,0
428,6,6,782.00,0,..,"{}",1,0,0
429,7,7,882.00,0,set,"{}",1,0,0
430,8,8,982.00,0,...,"{}",1,0,0
431,9,9,1082.00,0,amount,"{}",1,0,0
432,10,10,1182.00,0,.,"{}",1,0,0
433,0,0,182.00,0,...,"{}",1,0,0
434,1,1,282.00,0,So,"{}",1,0,0
435,2,2,382.00,0,can,"{}",1,0,0
436,3,3,482.00,0,I,"{}",1,0,0
437,4,4,582.00,0,get,"{}",1,0,0
438,5,5,682.00,0,something,"{}",1,0,0
439,6,6,782.00,0,on,"{}",1,0,0
440,7,7,882.00,0,this,"{}",1,0,0
441,8,8,982.00,0,bad,"{}",1,0,0
442,9,9,1082.00,0,boy,"{}",1,0,0
443,10,10,1182.00,0,?,"{}",1,0,0
