wordID,wID,unitID,uID,wordSeq,wordToken,wordTranscript
509,0,93,93,2, ,.
510,0,94,94,0, ,...
511,0,94,94,1,All,All
512,0,94,94,2,you,you
513,0,94,94,3,do,do
514,0,94,94,4,is,is
515,0,94,94,5,like,like
516,0,94,94,6,go,go
517,0,94,94,7, ,","
518,0,95,95,0, ,..
519,0,95,95,1,t,[t-
520,0,95,95,2, ,|..
521,0,95,95,3,two,|two
522,0,95,95,4,over,|over
523,0,95,95,5,one,|one]
524,0,95,95,6, ,","
525,0,96,96,0,You,[You
526,0,96,96,1,have,|have
527,0,96,96,2,the,|the
528,0,96,96,3,square,|square
529,0,96,96,4,root,|root
530,0,96,96,5,of,|of
531,0,96,96,6,one,|one:]
532,0,96,96,7, ,","
533,0,97,97,0,like,like
534,0,97,97,1,that,that
535,0,97,97,2, ,","
536,0,98,98,0,right,right
537,0,98,98,1, ,?
538,0,99,99,0, ,...
539,0,99,99,1,Mm,Mm.
540,0,99,99,2, ,-.
541,0,100,100,0, ,...
542,0,100,100,1,Since,Since
543,0,100,100,2,you,you
544,0,100,100,3,have,have
545,0,100,100,4,the,the
546,0,100,100,5,square,square
547,0,100,100,6,root,root
548,0,100,100,7,of,of
549,0,100,100,8,two,two
550,0,100,100,9,on,on
551,0,100,100,10,the,the
552,0,100,100,11,bottom,bottom
553,0,100,100,12, ,","
554,0,101,101,0, ,...
555,0,101,101,1,to,to
556,0,101,101,2,make,make
557,0,101,101,3,that,that
558,0,101,101,4,a,a
559,0,101,101,5,square,square
560,0,101,101,6, ,","
561,0,102,102,0,you,you
562,0,102,102,1,have,have
563,0,102,102,2,to,to
564,0,102,102,3,multiply,multiply
565,0,102,102,4,by,by
566,0,102,102,5,the,the
567,0,102,102,6,square,square
568,0,102,102,7,root,root
569,0,102,102,8,of,of
570,0,102,102,9,two,two
571,0,102,102,10, ,.
572,0,103,103,0, ,...
573,0,103,103,1,And,And
574,0,103,103,2,then,then
575,0,103,103,3,you,you
576,0,103,103,4,get,get
577,0,103,103,5,two,two:
578,0,103,103,6, ,","
579,0,104,104,0,and,and
580,0,104,104,1,you,you
581,0,104,104,2,multiply,multiply
582,0,104,104,3,the,the
583,0,104,104,4,top,top
584,0,104,104,5,by,by
585,0,104,104,6,the,the
586,0,104,104,7,square,square
587,0,104,104,8,root,root
588,0,104,104,9,of,of
589,0,104,104,10,two,two
590,0,104,104,11, ,","
591,0,105,105,0, ,..
592,0,105,105,1,and,and
593,0,105,105,2,you,you
594,0,105,105,3,get,get
595,0,105,105,4, ,","
596,0,106,106,0, ,..
597,0,106,106,1,square,square
598,0,106,106,2,root,root
599,0,106,106,3,of,of
600,0,106,106,4,two,two
601,0,106,106,5, ,.
602,0,107,107,0, ,...
603,0,107,107,1, ,@@@[@@@@]
604,0,108,108,0, ,[@@@
605,0,109,109,0,What,|@What:]
606,0,109,109,1, ,.
607,0,110,110,0,I,I
608,0,110,110,1,wanna,wanna
609,0,110,110,2,rewind,rewind
610,0,110,110,3,it,it
611,0,110,110,4,and,and
612,0,110,110,5,hear,hear
613,0,110,110,6,that,tha:t
614,0,110,110,7,back,back
615,0,110,110,8,again,[2again
616,0,110,110,9, ,.
617,0,111,111,0, ,|2[2@@@
618,0,111,111,1, ,|2
619,0,111,111,2, ,|2@@@
620,0,111,111,3, ,|2
621,0,111,111,4, ,|2@@@
622,0,111,111,5, ,|2@@@@]@@@@@
623,0,112,112,0,Cause,Cause
624,0,112,112,1,I,I
625,0,112,112,2,sure,sure
626,0,112,112,3,didn't,didn't
627,0,112,112,4,catch,catch
628,0,112,112,5,it,it
629,0,112,112,6,the,the
630,0,112,112,7,first,@first
631,0,112,112,8,time,@time
632,0,112,112,9, ,@@@2]
633,0,112,112,10, ,.
634,0,113,113,0, ,...
635,0,114,114,0,You,You
636,0,114,114,1,got,got
637,0,114,114,2,the,the
638,0,114,114,3,two,two
639,0,114,114,4, ,","
640,0,115,115,0,and,and
641,0,115,115,1,you,you
642,0,115,115,2,take,take
643,0,115,115,3,the,the
644,0,115,115,4,square,square
645,0,115,115,5,root,[root
646,0,115,115,6,of,|of
647,0,115,115,7,two,|two]
648,0,115,115,8, ,","
649,0,116,116,0, ,[@@]
650,0,117,117,0,and,and
651,0,117,117,1,you,you
652,0,117,117,2,get,get
653,0,117,117,3,the,the
654,0,117,117,4,negative,negative
655,0,117,117,5,two,[2two]
656,0,117,117,6, ,","
657,0,118,118,0, ,[2@]
658,0,119,119,0,which,which
659,0,119,119,1,you,you
660,0,119,119,2,take,take
661,0,119,119,3, ,[3..
662,0,119,119,4,the,|3the
663,0,119,119,5,square,|3square
664,0,119,119,6, ,","
665,0,120,120,0, ,[3@@@@
666,0,120,120,1, ,|3]
667,0,121,121,0,and,|3and
668,0,121,121,1,it,|3it
669,0,121,121,2,comes,|3comes3]
670,0,121,121,3,to,to
671,0,121,121,4,two,two
672,0,121,121,5, ,","
673,0,122,122,0, ,@@@
674,0,123,123,0,I'm,I'm
675,0,123,123,1,sorry,sorry
676,0,123,123,2, ,","
677,0,125,125,0, ,...
678,0,125,125,1,So,So
679,0,125,125,2, ,.
680,0,126,126,0, ,...
681,0,126,126,1,let's,let's
682,0,126,126,2,talk,talk
683,0,126,126,3,about,about
684,0,126,126,4,this,this
685,0,126,126,5,slowly,slow:ly:
686,0,126,126,6, ,","
687,0,127,127,0,as,as
688,0,127,127,1,I,I
689,0,127,127,2,write,wr:ite
690,0,127,127,3,this,this
691,0,127,127,4,down,down
692,0,127,127,5, ,","
693,0,128,128,0,as,as
694,0,128,128,1,you're,you're
695,0,128,128,2,saying,saying
696,0,128,128,3,it,it
697,0,128,128,4, ,.
698,0,129,129,0, ,..
699,0,129,129,1,Alright,Alright
700,0,129,129,2, ,?
701,0,130,130,0, ,...
702,0,130,130,1, ,..
703,0,130,130,2,This,This
704,0,130,130,3,is,is
705,0,130,130,4,what,what
706,0,130,130,5,we,we
707,0,130,130,6,came,came
708,0,130,130,7,out,out
709,0,130,130,8,with,with
710,0,130,130,9, ,.
711,0,131,131,0,Right,Right
712,0,131,131,1, ,?
713,0,132,132,0,It's,It's
714,0,132,132,1, ,--
715,0,133,133,0,But,But
716,0,133,133,1,put,put
717,0,133,133,2,it,it
718,0,133,133,3,as,as
719,0,133,133,4,the,the
720,0,133,133,5,square,square
