Token,Lemma,Transcript,Count,Category,Subcategory,Correction,Special,Two_words,End_tone,Overlap,Lag,@word,#word,%word,_word,Other_symbols,Standoff,Name,Stop_List,[POS]
((rubbing_fingers)),,((rubbing_fingers)),1,comment,,CAPS,,,,,,,,,,,,,,
((shaking_powder)),,((shaking_powder)),1,comment,,CAPS,,,,,,,,,,,,,,
((shaking)),,((shaking)),1,comment,,CAPS,,,,,,,,,,,,,,
((siren_begins)),,((siren_begins)),1,comment,,CAPS,,,,,,,,,,,,,,
((siren_starts_here_in_distance)),,((siren_starts_here_in_distance)),1,comment,,CAPS,,,,,,,,,,,,,,
((siren_starts_in_distance)),,((siren_starts_in_distance)),1,comment,,CAPS,,,,,,,,,,,,,,
((siren_stops)),,((siren_stops)),2,comment,,CAPS,,,,,,,,,,,,,,
((snap_snap_snap_snap_snap_snap_snap)),,((snap_snap_snap_snap_[snap_snap_snap))],1,comment,,CAPS,,,,[],,,,,,,,,,
((snap_snap_snap_snap_snap)),,[((snap_snap_snap_snap_snap))],1,comment,,CAPS,,,,[],,,,,,,,,,
((snap_snap)),,((snap_snap)),1,comment,,CAPS,,,,,,,,,,,,,,
((snap)),,"((snap)),",1,comment,,CAPS,,,,,,,,,,,,,,
((stomach_rumble)),,((stomach_rumble)),1,comment,,CAPS,,,,,,,,,,,,,,
((washing_dishes)),,((washing_dishes)),1,comment,,CAPS,,,,,,,,,,,,,,
((water_and_dish_noise)),,((water_and_dish_noise)),1,comment,,CAPS,,,,,,,,,,,,,,
((water-off)),,((water-off)),1,comment,,CAPS,,,,,,,,,,,,,,
((water-on)),,((water-on)),1,comment,,CAPS,,,,,,,,,,,,,,
((whistling)),,((whistling))[:],1,comment,,CAPS,,,,[],lag,,,,,,,,,
{mic_noise},,[{mic_noise}],2,comment,,((CAPS)),((MIC)),,,[],,,,,,,,,,
{mic_noise},,{mic_noise},1,comment,,((CAPS)),((MIC)),,,,,,,,,,,,,
{mic},,[{mic}:]:,1,comment,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{mic},,[{mic}],1,comment,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{mic},,[{mic}]:,1,comment,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{mic},,[2{mic}],1,comment,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{mic},,[3{mic}],1,comment,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{mic},,{mic},4,comment,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{mic},,{mic}[:][2:],1,comment,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{microphone},,{microphone},1,comment,,((CAPS)),((MIC)),,,,,,,,,,,,,
?,,?,117,endtone,appeal,,,,appeal,,,,,,,,,,,
?,,2]?,1,endtone,appeal,,,,appeal,],,,,,,,,,,
?,,8]?,1,endtone,appeal,,,,appeal,],,,,,,,,,,
",",,",",268,endtone,continuing,,,,continuing,,,,,,,,,,,
",",,",",1,endtone,continuing,,,,continuing,,,,,,,,,,,
",",,":,",1,endtone,continuing,,,,continuing,,lag,,,,,,,,,
",",,"],",56,endtone,continuing,,,,continuing,],,,,,,,,,,
",",,"2],",4,endtone,continuing,,,,continuing,],,,,,,,,,,
",",,"3],",1,endtone,continuing,,,,continuing,],,,,,,,,,,
",",,"5],",1,endtone,continuing,,,,continuing,],,,,,,,,,,
?,,]?,28,endtone,continuing,,,,appeal,],,,,,,,,,,
.,,.,1073,endtone,final,,,,final,,,,,,,,,,,
.,,.,1,endtone,final,,,,final,,,,,,,,,,,
.,,].,364,endtone,final,,,,final,],,,,,,,,,,
.,,2].,7,endtone,final,,,,final,],,,,,,,,,,
.,,3].,6,endtone,final,,,,final,],,,,,,,,,,
.,,4].,3,endtone,final,,,,final,],,,,,,,,,,
.,,7].,1,endtone,final,,,,final,],,,,,,,,,,
--,,__,151,endtone,truncated_IU,,,,,,,,,,,,,,,
--,,____,1,endtone,truncated_IU,,,,,,,,,,,,,,,
--,,--,4612,endtone,truncated_IU,,,,truncated_IU,,,,,,,,,,,
--,,----,1,endtone,truncated_IU,,,,truncated_IU,,,,,,,,,,,
--,,"--,",2,endtone,truncated_IU,,,,continuing,,,,,,,,,,,
--,,--.,1,endtone,truncated_IU,,,,truncated_IU,,,,,,,,,,,
--,,--\000000000,1,endtone,truncated_IU,[zero],[check],,truncated_IU,,,,,,,,,,,
